Species,Family,Stage,Skill,VisualKind,Normal,Mega,Enemy
Seqkit,seqkit,1,Sequence Spark,SequenceSpark,covered,covered,covered
Patternlynx,seqkit,2,Pattern Prowl,SequenceSpark,covered,covered,covered
Ordinalion,seqkit,3,Ordinal Crown,SequenceSpark,covered,covered,covered
Glimlet,glimlet,1,Glimmer Bond,FairyGlimmer,covered,covered,covered
Twinkelle,glimlet,2,Twin Star Bond,FairyGlimmer,covered,covered,covered
Luminara,glimlet,3,Luminous Ten,FairyGlimmer,covered,covered,covered
Moonmote,moonmote,1,Moon Mirror,FairyGlimmer,covered,covered,covered
Lunafae,moonmote,2,Lunar Reflection,FairyGlimmer,covered,covered,covered
Selenequin,moonmote,3,Perfect Moon,FairyGlimmer,covered,covered,covered
Charmite,charmite,1,Charm Pair,FairyGlimmer,covered,covered,covered
Pairabelle,charmite,2,Bell Match,FairyGlimmer,covered,covered,covered
Harmonique,charmite,3,Harmony Chorus,FairyGlimmer,covered,covered,covered
Wishwink,wishwink,1,Wish Pattern,FairyGlimmer,covered,covered,covered
Starwhisp,wishwink,2,Starlight Sequence,FairyGlimmer,covered,covered,covered
Constellara,wishwink,3,Constellation Path,FairyGlimmer,covered,covered,covered
Pixipip,pixipip,1,Pixie Prism,FairyGlimmer,covered,covered,covered
Prismfae,pixipip,2,Prism Turn,FairyGlimmer,covered,covered,covered
Radianta,pixipip,3,Radiant Shape,FairyGlimmer,covered,covered,covered
Addling,addling,1,Dragon Add,DragonSpiral,covered,covered,covered
Sumscale,addling,2,Scale Sum,DragonSpiral,covered,covered,covered
Totalisk,addling,3,Total Inferno,DragonSpiral,covered,covered,covered
Dracount,dracount,1,Treasure Count,DragonSpiral,covered,covered,covered
Tallywyrm,dracount,2,Tally Claw,DragonSpiral,covered,covered,covered
Enumeragon,dracount,3,Number Hoard,DragonSpiral,covered,covered,covered
Loopling,loopling,1,Loop Turn,DragonSpiral,covered,covered,covered
Spirake,loopling,2,Spiral Wing,DragonSpiral,covered,covered,covered
Rotaragon,loopling,3,Rotation Storm,DragonSpiral,covered,covered,covered
Twinsting,twinsting,1,Twin Tail,DragonSpiral,covered,covered,covered
Doublescale,twinsting,2,Double Wing,DragonSpiral,covered,covered,covered
Multisaur,twinsting,3,Manyfold Roar,DragonSpiral,covered,covered,covered
Shardrake,shardrake,1,Shard Shape,DragonSpiral,covered,covered,covered
Prismwyrm,shardrake,2,Prism Scale,DragonSpiral,covered,covered,covered
Geodragon,shardrake,3,Geometry Breath,DragonSpiral,covered,covered,covered
Voltlet,voltlet,1,Spark Addition,ElectricBolt,covered,covered,covered
Sumvolt,voltlet,2,Voltage Sum,ElectricBolt,covered,covered,covered
Totalstorm,voltlet,3,Total Thunder,ElectricBolt,covered,covered,covered
Sparkit,sparkit,1,Spark Pattern,ElectricBolt,covered,covered,covered
Patternzap,sparkit,2,Zigzag Sequence,ElectricBolt,covered,covered,covered
Sequencera,sparkit,3,Sequence Storm,ElectricBolt,covered,covered,covered
Chargecub,chargecub,1,Charge Double,ElectricBolt,covered,covered,covered
Doublebolt,chargecub,2,Twin Thunder,ElectricBolt,covered,covered,covered
Thunderbear,chargecub,3,Thunder Groups,ElectricBolt,covered,covered,covered
Flickerfin,flickerfin,1,Flicker Count,ElectricBolt,covered,covered,covered
Neonray,flickerfin,2,Neon Number,ElectricBolt,covered,covered,covered
Luminamp,flickerfin,3,Luminous Count,ElectricBolt,covered,covered,covered
Switchick,switchick,1,Switch Mirror,ElectricBolt,covered,covered,covered
Mirrorvolt,switchick,2,Voltage Reflection,ElectricBolt,covered,covered,covered
Voltalance,switchick,3,Balanced Bolt,ElectricBolt,covered,covered,covered
Budsum,budsum,1,Bud Addition,GrassBloom,covered,covered,covered
Vineplus,budsum,2,Vine Sum,GrassBloom,covered,covered,covered
Totalbloom,budsum,3,Total Garden,GrassBloom,covered,covered,covered
Clovercub,clovercub,1,Leaf Count,GrassBloom,covered,covered,covered
Fourleaf,clovercub,2,Lucky Four,GrassBloom,covered,covered,covered
Cloverlord,clovercub,3,Clover Crown,GrassBloom,covered,covered,covered
Sprouturn,sprouturn,1,Sprout Spiral,GrassBloom,covered,covered,covered
Spiralfern,sprouturn,2,Fern Rotation,GrassBloom,covered,covered,covered
Symmetroak,sprouturn,3,Oak Symmetry,GrassBloom,covered,covered,covered
Mossbit,mossbit,1,Moss Double,GrassBloom,covered,covered,covered
Doublmoss,mossbit,2,Double Grove,GrassBloom,covered,covered,covered
Grovemult,mossbit,3,Many Tree March,GrassBloom,covered,covered,covered
Seedseq,seedseq,1,Seed Sequence,GrassBloom,covered,covered,covered
Patternpod,seedseq,2,Pod Pattern,GrassBloom,covered,covered,covered
Orderchid,seedseq,3,Orchid Order,GrassBloom,covered,covered,covered
Numblet,numblet,1,Counting Gust,FlyingGust,covered,covered,covered
Tallywing,numblet,2,Tally Tailwind,FlyingGust,covered,covered,covered
Totalon,numblet,3,Total Cyclone,FlyingGust,covered,covered,covered
Ohmlet,ohmlet,1,Circuit Sum,ElectricBolt,covered,covered,covered
Currabbit,ohmlet,2,Current Equation,ElectricBolt,covered,covered,covered
Voltamper,ohmlet,3,Voltage Unknown,ElectricBolt,covered,covered,covered
Sparkseed,sparkseed,1,Circuit Sprout,ElectricBolt,covered,covered,covered
Coilvine,sparkseed,2,Coil Pattern,ElectricBolt,covered,covered,covered
Teslatree,sparkseed,3,Tesla Sequence,ElectricBolt,covered,covered,covered
Charguppy,charguppy,1,Current Count,ElectricBolt,covered,covered,covered
Ampfin,charguppy,2,Ampere Tally,ElectricBolt,covered,covered,covered
Megavolt,charguppy,3,Million Sparks,ElectricBolt,covered,covered,covered
Circuitick,circuitick,1,Circuit Mirror,ElectricBolt,covered,covered,covered
Relayhawk,circuitick,2,Relay Reflection,ElectricBolt,covered,covered,covered
Gridgriff,circuitick,3,Perfect Grid,ElectricBolt,covered,covered,covered
Numite,numite,1,Factor Pebbles,DoubleBoulder,covered,covered,covered
Factorock,numite,2,Factor Formation,DoubleBoulder,covered,covered,covered
Multimount,numite,3,Mountain Groups,DoubleBoulder,covered,covered,covered
Gemlet,gemlet,1,Gem Mirror,DoubleBoulder,covered,covered,covered
Prismine,gemlet,2,Crystal Reflection,DoubleBoulder,covered,covered,covered
Geodeus,gemlet,3,Geode Symmetry,DoubleBoulder,covered,covered,covered
Shaleling,shaleling,1,Shale Sequence,DoubleBoulder,covered,covered,covered
Layerock,shaleling,2,Layer Pattern,DoubleBoulder,covered,covered,covered
Stratatitan,shaleling,3,Strata Order,DoubleBoulder,covered,covered,covered
Cragcub,cragcub,1,Crag Balance,DoubleBoulder,covered,covered,covered
Boulderbear,cragcub,2,Boulder Equation,DoubleBoulder,covered,covered,covered
Tectotitan,cragcub,3,Tectonic Total,DoubleBoulder,covered,covered,covered
Draddit,draddit,1,Cavern Add,DragonSpiral,covered,covered,covered
Sumwyrm,draddit,2,Deep Sum,DragonSpiral,covered,covered,covered
Calcularagon,draddit,3,Core Calculation,DragonSpiral,covered,covered,covered
Scalip,scalip,1,Scale Pattern,DragonSpiral,covered,covered,covered
Patternake,scalip,2,Cavern Sequence,DragonSpiral,covered,covered,covered
Sequendrake,scalip,3,Endless Pattern,DragonSpiral,covered,covered,covered
Digiling,digiling,1,Digit Count,DragonSpiral,covered,covered,covered
Tenswyrm,digiling,2,Tens Tally,DragonSpiral,covered,covered,covered
Magnagon,digiling,3,Place Value Roar,DragonSpiral,covered,covered,covered
Runelet,runelet,1,Rune Mirror,DragonSpiral,covered,covered,covered
Mirrorwyrm,runelet,2,Echo Reflection,DragonSpiral,covered,covered,covered
Symmetragon,runelet,3,Perfect Rune,DragonSpiral,covered,covered,covered
Embernum,embernum,1,Ember Addition,EquationFlame,covered,covered,covered
Plusprite,embernum,2,Blazing Plus,EquationFlame,covered,covered,covered
Sumflare,embernum,3,Solar Sum,EquationFlame,covered,covered,covered
Cindercub,cindercub,1,Cinder Double,EquationFlame,covered,covered,covered
Douburn,cindercub,2,Twin Inferno,EquationFlame,covered,covered,covered
Multilion,cindercub,3,Many Flame March,EquationFlame,covered,covered,covered
Torchick,torchick,1,Torch Pattern,EquationFlame,covered,covered,covered
Patternix,torchick,2,Phoenix Sequence,EquationFlame,covered,covered,covered
Sequenix,torchick,3,Infinite Flame,EquationFlame,covered,covered,covered
Glowgecko,glowgecko,1,Glow Balance,EquationFlame,covered,covered,covered
Balablaze,glowgecko,2,Balanced Blaze,EquationFlame,covered,covered,covered
Equiferno,glowgecko,3,Equal Inferno,EquationFlame,covered,covered,covered
